candidate,candidate_name,youtube_channel_id,videos,videos_own,video_ids_count,comments_count,sum_view_count,sum_like_count,sum_comment_count,avg_duration_seconds,languages
hnd01monc,Rixi Ramona Moncada,UCDe9xhIjHpxmGZjt1HUrcTg,1470,63,468,6999,6150277,54582,10443,222,"af,en,en-US,es,es-419"
hnd02cast,Xiomara Castro de Zelaya,UC8_NyEjsT6mVAf7TRIR93NQ,1248,0,385,6997,5303615,105235,9741,256,"de,en,en-GB,en-US,es"
hnd03gonz,Yamileth Gonzales,,51,0,17,1539,357204,11658,1991,470,"en,en-US,es,es-MX,pt-PT"
hnd04guan,Karen Guandique,,21,0,7,122,78601,838,171,660,"es,es-419"
hnd05pere,Kritza Pérez,,21,0,7,126,33571,648,190,75,"es,es-419,es-US"
hnd06hayd,Carmen Haydeé,,96,0,32,2905,1028906,28902,5434,626,"en,en-US,es,es-419,es-MX"
hnd07elvi,Iroshka Elvir,,84,0,28,940,2043691,86606,6276,216,"en,es,es-419"
hnd08cano,Lissi Matute Cano,,3,0,1,0,1539,17,0,21,es-419
hnd09sosa,Maria José Sosa,,375,0,121,16732,28522381,389234,28327,614,"en,en-US,es,es-419,es-ES"
hnd10sier,Grace Sierra,,1152,0,353,20187,48007004,903258,58834,655,"ar,bn,bn-IN,de,en"
hnd11pine,Iris Pineda,,129,0,43,4824,6610952,339951,20212,674,"en,en-US,es,es-419,es-MX"
hnd12ando,Daisy Andonie,,0,0,0,0,0,0,0,0,
hnd13hall,Ana Paola Hall,,486,0,157,4137,9504634,152592,5681,1012,"en,en-IN,en-US,es,es-419"
hnd14espi,Maribel Espinoza,,327,0,109,1142,2450908,14821,1761,184,"en,en-US,es,es-419,es-MX"
hnd15lope,Cossette López,,750,0,244,5935,3554351,30439,8898,502,"en,en-US,es,es-419,es-US"
hnd16asfu,Nasry Asfura,UCIZviNZ2baLody7GJagxgLA,1275,0,415,10319,7994872,96356,15325,351,"en,en-GB,en-US,es,es-419"
hnd17nasr,Salvador Nasralla,UCjov_nNYqAUVPvyZDtMosRA,1473,9,490,15240,12424802,133216,22297,395,"en,en-GB,en-US,es,es-419"
hnd18avil,Jorge Nelson Ávila Gutiérrez,,9,0,3,3,2285,48,4,67,"es,es-419"
hnd19rive,Mario Rivera Callejas,UCo32FlwYfJA2g719PbprjJQ,18,0,6,3,2418,14,3,36,"es,es-419"
hnd20barr,Ramon Barrios,,75,0,25,2262,2281522,42092,4341,283,"en,es,es-419,es-MX,und"
